ID,town,dwc:county,dwc:stateProvince,stateISO2,dwc:decimalLatitude,dwc:decimalLongitude,dwc:coordinateUncertaintyInMeters,polygonType,dwc:georeferenceRemarks,dwc:georeferencedBy,dwc:georeferenceSources,dwc:geodeticDatum,modificationDate
1,Addison,Washington,Maine,ME,44.5496684928645,-67.7039546338988,12535.7823895946,convex hull,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,Patrick W. Sweeney,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",WGS84,03/25/2015 21:11:46
2,Alna,Lincoln,Maine,ME,44.088397894852,-69.6344540740224,6396.58865676203,convex hull,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,Patrick W. Sweeney,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",WGS84,03/25/2015 21:11:46
3,Amesbury,Essex,Massachusetts,MA,42.8524729540175,-70.9461775664876,4953.68943020664,convex hull,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,Patrick W. Sweeney,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",WGS84,03/25/2015 21:11:46
4,Andover,Essex,Massachusetts,MA,42.6465663514697,-71.1687184557684,8942.18459567734,convex hull,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,Patrick W. Sweeney,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",WGS84,03/25/2015 21:11:46
5,Aquinnah,Dukes,Massachusetts,MA,41.33859085414,-70.8002221827466,3394.67891536768,convex hull,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,Patrick W. Sweeney,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",WGS84,03/25/2015 21:11:46
6,Arlington,Middlesex,Massachusetts,MA,42.418271097385,-71.1633742210517,3257.4862270929,convex hull,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,Patrick W. Sweeney,"Community Boundaries (Towns) from Survey Points (Polygons) vector digital data (TOWNSSURVEY_POLY.shp, http://www.mass.gov/itd/townsurvey), 2012-11-05; MassGIS, Commonwealth of Massachusetts.",WGS84,03/25/2015 21:11:46
7,Arrowsic,Sagadahoc,Maine,ME,43.860728977897,-69.7863644939813,6169.83485791989,convex hull,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,Patrick W. Sweeney,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",WGS84,03/25/2015 21:11:46
8,Augusta,Kennebec,Maine,ME,44.3340404488454,-69.7328809272192,9381.89671095485,convex hull,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,Patrick W. Sweeney,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",WGS84,03/25/2015 21:11:46
9,Bangor,Penobscot,Maine,ME,44.8312445404144,-68.7885557941454,7086.4841527166,convex hull,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,Patrick W. Sweeney,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",WGS84,03/25/2015 21:11:46
10,Bar Harbor,Hancock,Maine,ME,44.3801766887961,-68.278315478819,10901.20012782,convex hull,Coordinates are for the centroid of the town polygon. The uncertainty is the largest possible distance between the centroid and the polygon edge.,Patrick W. Sweeney,"GISVIEW.MEGIS.Metwp24P vector digital data (metwp24p.shp), 03/15/2013; Maine Office of Geographic Information Systems, Augusta, ME (http://www.maine.gov/megis/catalog/).",WGS84,03/25/2015 21:11:46
